Parameter,LCDM,PBUF
H₀ [km s⁻¹ Mpc⁻¹],0.000,0.000
Ωₘ,0.000,0.000
Ω_b,0.000,0.000
Ω_k,0.000,0.000
r_d [Mpc],0.000,0.000
σ₈,0.000,0.000
S₈,0.000,0.000
q₀,0.000,0.000
χ²,0.000,0.000
